Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
xp,com.enonic.wem.core.account,DeleteAccountHandlerTest,deleteExistingAccounts,Magic Number,The method contains a magic number: 3,40
xp,com.enonic.wem.core.account,UpdateAccountsHandlerTest,testUpdateGroupsWithMembers,Magic Number,The method contains a magic number: 2l,87
xp,com.enonic.wem.core.account,UpdateAccountsHandlerTest,testUpdateUsers,Magic Number,The method contains a magic number: 3l,138
xp,com.enonic.wem.core.account,UpdateAccountsHandlerTest,createGroup,Long Statement,The length of the statement "Mockito.when(accountDao.findGroup(Matchers.eq(session)`Matchers.eq(accountKey)`Matchers.anyBoolean())).thenReturn(group);" is 121.,252
xp,com.enonic.wem.core.account,UpdateAccountsHandlerTest,createUser,Long Statement,The length of the statement "Mockito.when(accountDao.findUser(Matchers.eq(session)`Matchers.eq(accountKey)`Matchers.anyBoolean()`Matchers.anyBoolean())).thenReturn(user);" is 141.,266
xp,com.enonic.wem.core.account,GetAccountsHandlerTest,testGetAccounts,Magic Number,The method contains a magic number: 3,49
xp,com.enonic.wem.core.account,GetAccountsHandlerTest,testGetAccounts,Magic Number,The method contains a magic number: 2,49
xp,com.enonic.wem.core.account,GetAccountsHandlerTest,testGetAccountsWithMembers,Magic Number,The method contains a magic number: 3,73
xp,com.enonic.wem.core.account,GetAccountsHandlerTest,testGetAccountsWithMembers,Magic Number,The method contains a magic number: 2,73
xp,com.enonic.wem.core.account,GetAccountsHandlerTest,testGetAccountsWithMembers,Magic Number,The method contains a magic number: 2,73
xp,com.enonic.wem.core.account,GetAccountsHandlerTest,createGroup,Long Statement,The length of the statement "Mockito.when(accountDao.findGroup(Matchers.eq(session)`Matchers.eq(accountKey)`Matchers.anyBoolean())).thenReturn(group);" is 121.,196
xp,com.enonic.wem.core.account,GetAccountsHandlerTest,createUser,Long Statement,The length of the statement "Mockito.when(accountDao.findUser(Matchers.eq(session)`Matchers.eq(accountKey)`Matchers.anyBoolean()`Matchers.anyBoolean())).thenReturn(user);" is 141.,210
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryUsers,Magic Number,The method contains a magic number: 10,50
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryUsers,Magic Number,The method contains a magic number: 2,50
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryUsers,Magic Number,The method contains a magic number: 3,50
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryUsers,Magic Number,The method contains a magic number: 10,50
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryGroupsRoles,Long Statement,The length of the statement "final AccountQuery query=new AccountQuery().offset(0).limit(2).sortDesc("userstore").types(AccountType.GROUP`AccountType.ROLE);" is 127.,78
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryGroupsRoles,Magic Number,The method contains a magic number: 7,78
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryGroupsRoles,Magic Number,The method contains a magic number: 2,78
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryGroupsRoles,Magic Number,The method contains a magic number: 5,78
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryGroupsRoles,Magic Number,The method contains a magic number: 7,78
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Long Statement,The length of the statement "final AccountQuery query=new AccountQuery().offset(0).limit(2).sortDesc("userstore").types(AccountType.GROUP`AccountType.ROLE);" is 127.,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 7,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 2,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 3,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 3,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 2,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 5,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 7,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 3,114
xp,com.enonic.wem.core.account,FindAccountsHandlerTest,testFindAccountsByQueryFacets,Magic Number,The method contains a magic number: 3,114
xp,com.enonic.wem.core.account,FindMembershipsHandlerTest,testFindMembershipsUser,Long Statement,The length of the statement "setSearchResults(AccountKeys.from(AccountKey.group("enonic:group1")`AccountKey.group("enonic:group2")`AccountKey.role("enonic:role1")));" is 136.,45
xp,com.enonic.wem.core.account,FindMembershipsHandlerTest,testFindMembershipsUser,Magic Number,The method contains a magic number: 3,45
xp,com.enonic.wem.core.account,FindMembershipsHandlerTest,testFindMembershipsGroup,Long Statement,The length of the statement "setSearchResults(AccountKeys.from(AccountKey.group("enonic:group1")`AccountKey.group("enonic:group2")`AccountKey.role("enonic:role1")));" is 136.,69
xp,com.enonic.wem.core.account,FindMembershipsHandlerTest,testFindMembershipsGroup,Magic Number,The method contains a magic number: 3,69
xp,com.enonic.wem.core.account,FindMembershipsHandlerTest,testFindMembershipsUserIncludeTransitive,Long Statement,The length of the statement "final AccountKeys directMemberships=AccountKeys.from(AccountKey.group("enonic:group1")`AccountKey.group("enonic:group2"));" is 122.,93
xp,com.enonic.wem.core.account,FindMembershipsHandlerTest,testFindMembershipsUserIncludeTransitive,Magic Number,The method contains a magic number: 3,93
xp,com.enonic.wem.core.account,FindMembershipsHandlerTest,setSearchResults,Long Statement,The length of the statement "Mockito.when(accountSearchService.search(Matchers.any(AccountSearchQuery.class))).thenReturn(searchResults1).thenReturn(searchResults2);" is 136.,147
xp,com.enonic.wem.core.account,IsQualifiedUsername,matches,Long Statement,The length of the statement "return this.qualifiedName.getUsername().equals(otherQualifiedName.getUsername()) && this.qualifiedName.getUserStoreName().equals(otherQualifiedName.getUserStoreName());" is 168.,20
xp,com.enonic.wem.core.account,FindMembersHandlerTest,testFindGroupMembers,Long Statement,The length of the statement "Mockito.when(accountDao.getMembers(Mockito.any(Session.class)`Mockito.eq(groupAccount))).thenReturn(AccountKeys.from(group`user`role));" is 135.,39
xp,com.enonic.wem.core.account,FindMembersHandlerTest,testFindGroupMembers,Magic Number,The method contains a magic number: 3,39
xp,com.enonic.wem.core.account,FindMembersHandlerTest,testFindRoleMembers,Long Statement,The length of the statement "Mockito.when(accountDao.getMembers(Mockito.any(Session.class)`Mockito.eq(roleAccount))).thenReturn(AccountKeys.from(group`user`role));" is 134.,64
xp,com.enonic.wem.core.account,FindMembersHandlerTest,testFindRoleMembers,Magic Number,The method contains a magic number: 3,64
xp,com.enonic.wem.core.account,FindMembersHandlerTest,testFindMissingMembers,Long Statement,The length of the statement "Mockito.when(accountDao.getMembers(Mockito.any(Session.class)`Mockito.eq(groupAccount))).thenThrow(new AccountNotFoundException(groupAccount));" is 143.,105
xp,com.enonic.wem.core.account,GetAccountsHandler,handle,Long Statement,The length of the statement "final Accounts accounts=fetchAccounts(context.getJcrSession()`command.getKeys()`includeMembers`includePhoto`includeProfile);" is 124.,31
xp,com.enonic.wem.core.account,GetAccountsHandler,fetchAccounts,Long Parameter List,The method has 5 parameters. ,44
xp,com.enonic.wem.core.account,UpdateAccountsHandler,retrieveAccount,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@51ac1645,63
xp,com.enonic.wem.core.account,UserProfileTransformer,userEntityToUserProfile,Complex Method,Cyclomatic complexity of the method is 30,40
xp,com.enonic.wem.core.account,UserProfileTransformer,userEntityToUserProfile,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@47d7366,40
