Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
recommenders_rival,net.recommenders.rival.evaluation.metric,MAETest,testSameGroundtruthAsPredictions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
recommenders_rival,net.recommenders.rival.evaluation.metric,RMSETest,testSameGroundtruthAsPredictions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
recommenders_rival,net.recommenders.rival.evaluation.metric,PopularityStratifiedRecallTest,testSameGroundtruthAsPredictions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
recommenders_rival,net.recommenders.rival.evaluation.metric,RecallTest,testSameGroundtruthAsPredictions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
recommenders_rival,net.recommenders.rival.evaluation.metric,RecallTest,testOneUserTrecevalStrategySingleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,RecallTest,testOneUserTrecevalStrategyMultipleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,MAPTest,testSameGroundtruthAsPredictions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
recommenders_rival,net.recommenders.rival.evaluation.metric,MAPTest,testOneUserTrecevalStrategySingleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,MAPTest,testOneUserTrecevalStrategyMultipleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,NDCGTest,testSameGroundtruthAsPredictions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
recommenders_rival,net.recommenders.rival.evaluation.metric,NDCGTest,testOrderOneUserTrecevalStrategy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
recommenders_rival,net.recommenders.rival.evaluation.metric,NDCGTest,testOneUserTrecevalStrategySingleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,NDCGTest,testOneUserTrecevalStrategyMultipleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,PrecisionTest,testSameGroundtruthAsPredictions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
recommenders_rival,net.recommenders.rival.evaluation.metric,PrecisionTest,testSameGroundtruthAsPredictionsStringIDs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
recommenders_rival,net.recommenders.rival.evaluation.metric,PrecisionTest,testOneUserTrecevalStrategySingleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,PrecisionTest,testOneUserTrecevalStrategyMultipleRelevance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
recommenders_rival,net.recommenders.rival.evaluation.metric,PrecisionTest,testIssue113,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
recommenders_rival,net.recommenders.rival.evaluation.statistics,StatisticsTest,testConfidenceInterval,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
recommenders_rival,net.recommenders.rival.evaluation.statistics,StatisticsTest,testConfidenceInterval2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
recommenders_rival,net.recommenders.rival.evaluation.statistics,StatisticsTest,testEffectSize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
recommenders_rival,net.recommenders.rival.core,DataModelTest,testDuplicatePreferences,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
recommenders_rival,net.recommenders.rival.split.splitter,SplitTest,testCrossValidation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
recommenders_rival,net.recommenders.rival.split.splitter,SplitTest,testRandom,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
recommenders_rival,net.recommenders.rival.split.splitter,SplitTest,testValidation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
recommenders_rival,net.recommenders.rival.split.splitter,SplitTest,testValidationCV,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
