Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldNotApplyConversionToNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToIntegerType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToLongType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToFloatType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToDoubleType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToShortType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToBooleanType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToCharacterType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToCharacterType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldCastParamsToEnumType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldUseCustomNullIdentifierForDifferentType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.converters,NullableConverterTest,shouldUseDifferentCustomNullIdentifiers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.internal,TestMethodTest,flatTestMethodStructure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.internal,TestMethodTest,flatTestMethodStructure,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Pragmatists_junitparams,junitparams.internal,TestMethodTest,hierarchicalTestMethodStructure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Pragmatists_junitparams,junitparams.internal,TestMethodTest,hierarchicalArrayTestMethodStructure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Pragmatists_junitparams,junitparams.internal,TestMethodTest,testVarargsCustomClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Pragmatists_junitparams,junitparams.internal,TestMethodTest,testVarargsMoreArgs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.internal,TestMethodTest,testVargsMoreArgsOfTheSameType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withoutMacro,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withoutMacro,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withIndexMacro,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withIndexMacro,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withParamsMacro,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withParamsMacro,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMethodNameMacro,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMethodNameMacro,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withAnnotationWithoutTemplate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withAnnotationWithoutTemplate,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withEmptyTemplate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withEmptyTemplate,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withCombinationOfMacros,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withCombinationOfMacros,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMacroNameWrittenInDifferentCase,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMacroNameWrittenInDifferentCase,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMethodParameterIndexInsideArgumentsArray,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMethodParameterIndexInsideArgumentsArray,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMethodParameterIndexOutsideArgumentsArray,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,withMethodParameterIndexOutsideArgumentsArray,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,whenTemplateResultedToEmptyName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,whenTemplateResultedToEmptyName,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,whenGivenMacroDoesntExist,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,MacroSubstitutionNamingStrategyTest,whenGivenMacroDoesntExist,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams.naming,NamingStrategyIsUsedByRunnerTest,sampleMethod,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams.naming,NamingStrategyIsUsedByRunnerTest,sampleMethod,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams,ParametersForEnumTest,testAFruit,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams,FilterableTest,shouldReturnOneDescriptionForSimpleTestCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams,FilterableTest,shouldReturnParametrizedDescriptionsForParametrizedTestCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams,NullValuesTest,passesForMultipleParametersOutOfBox,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Pragmatists_junitparams,junitparams,IgnoringTest,ignoreMeNoParams,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Pragmatists_junitparams,junitparams,IgnoringTest,ignoreMeWithParams,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Pragmatists_junitparams,junitparams,IgnoringTest,dontIgnoreMeNoParams,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams,IgnoringTest,dontIgnoreMeNoParams,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams,IgnoringTest,shouldNotTryToInvokeMethodWhenTestIgnored,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Pragmatists_junitparams,junitparams,ParametersReaderProvidersTest,oneParamSetFromClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams,ParametersReaderProvidersTest,shouldPutProviderClassNameInExceptionMessageForProviderWithNoValidMethods,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams,ParametersReaderProvidersTest,providedDomainParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams,OverloadedTestMethodNameTest,aTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Pragmatists_junitparams,junitparams,OverloadedTestMethodNameTest,aTest,Empty test,The tool detected the smell in this test method because the test is empty.
Pragmatists_junitparams,junitparams,OverloadedTestMethodNameTest,aTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams,MultipleParameterProvidersTest,testWithValueAndMethodProvidersThrowsIllegalStateException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Pragmatists_junitparams,junitparams,NotSpecifiedParameters,failsWhenNoParamsProvided,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Pragmatists_junitparams,junitparams,ParametersReaderForMethodTest,oneParamDifferentTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams,ParametersReaderForMethodTest,oneParamSetOneNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Pragmatists_junitparams,junitparams,BeforeAfterClassTest,shouldProvideHelpfulExceptionMessageWhenLifecycleAnnotationUsedImproperly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
