Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OFieldTransformerTest,testValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OFieldTransformerTest,testExpression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OFieldTransformerTest,testRemove,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OLogTransformerTest,testPrefix,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OLogTransformerTest,testPostfix,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OEdgeTransformerTest,testNotLightweightEdge,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OEdgeTransformerTest,testLookupMultipleValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OEdgeTransformerTest,testEdgeWithProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OEdgeTransformerTest,testSkipDuplicateVertex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OCSVTransformerTest,testOneObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
orientechnologies_orientdb-etl,com.orientechnologies.orient.etl.transformer,OCSVTransformerTest,testSmallSet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
