Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sword-org_wechat4j,org.sword.wechat4j,WechatSupport,dispatchMessage,Complex Method,Cyclomatic complexity of the method is 10,124
sword-org_wechat4j,org.sword.wechat4j,WechatSupport,dispatchMessage,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4b2f9239,124
sword-org_wechat4j,org.sword.wechat4j,WechatSupport,dispatchEvent,Complex Method,Cyclomatic complexity of the method is 17,165
sword-org_wechat4j,org.sword.wechat4j,WechatSupport,dispatchEvent,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@95d1b2c,165
sword-org_wechat4j,org.sword.wechat4j,WechatSupport,responseMusic,Long Parameter List,The method has 5 parameters. ,310
sword-org_wechat4j,org.sword.wechat4j.common,Config,Config,Complex Method,Cyclomatic complexity of the method is 11,34
sword-org_wechat4j,org.sword.wechat4j.common,ValidateSignature,encode,Magic Number,The method contains a magic number: 2,46
sword-org_wechat4j,org.sword.wechat4j.pay,H5PayParam,toString,Long Statement,The length of the statement "return "H5PayConfig{" + "appid='" + appid + '\''+ "` timeStamp='"+ timeStamp+ '\''+ "` nonceStr='"+ nonceStr+ '\''+ "` packageWithPrepayId='"+ packageWithPrepayId+ '\''+ "` signType='"+ signType+ '\''+ "` paySign='"+ paySign+ '\''+ '}';" is 236.,71
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,unifiedorder,Long Identifier,The length of the field HTTPS_API_MCH_WEIXIN_QQ_COM_PAY_UNIFIEDORDER is 44.,87
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,orderquery,Long Identifier,The length of the field HTTPS_API_MCH_WEIXIN_QQ_COM_PAY_ORDERQUERY is 42.,112
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,closeorder,Long Identifier,The length of the field HTTPS_API_MCH_WEIXIN_QQ_COM_PAY_CLOSEORDER is 42.,144
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,refund,Long Identifier,The length of the field HTTPS_API_MCH_WEIXIN_QQ_COM_SECAPI_PAY_REFUND is 45.,169
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,refundquery,Long Identifier,The length of the field HTTPS_API_MCH_WEIXIN_QQ_COM_PAY_REFUNDQUERY is 43.,194
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,downloadbill,Empty catch clause,The method has an empty catch block.,226
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,downloadbill,Long Identifier,The length of the field HTTPS_API_MCH_WEIXIN_QQ_COM_PAY_DOWNLOADBILL is 44.,226
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,downloadbill,Long Statement,The length of the statement "exception=new PayApiException(mapFromXMLString.get("return_code").toString()`mapFromXMLString.get("return_msg").toString());" is 124.,226
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,report,Long Identifier,The length of the field HTTPS_API_MCH_WEIXIN_QQ_COM_PAYITIL_REPORT is 42.,256
sword-org_wechat4j,org.sword.wechat4j.pay,PayManager,parsePayResultNotify,Magic Number,The method contains a magic number: 1024,282
