Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
tarql_tarql,org.deri.tarql,StreamRDFDedup,StreamRDFDedup,Magic Number,The method contains a magic number: 10000,22
tarql_tarql,org.deri.tarql,StreamRDFDedup,StreamRDFDedup,Magic Number,The method contains a magic number: 3,26
tarql_tarql,org.deri.tarql,StreamRDFDedup,StreamRDFDedup,Magic Number,The method contains a magic number: 2,26
tarql_tarql,org.deri.tarql,CSVParser,CSVParser,Long Parameter List,The method has 5 parameters. ,53
tarql_tarql,org.deri.tarql,CSVParser,toVar,Long Statement,The length of the statement "String PN_CHARS_BASE="A-Za-z\u00C0-\u00D6\u00D8-\u00F6\u00F8-\u02FF\u0370-\u037D\u037F-\u1FFF\u200C-\u200D\u2070-\u218F\u2C00-\u2FEF\u3001-\uD7FF\uF900-\uFDCF\uFDF0-\uFFFD";" is 173.,78
tarql_tarql,org.deri.tarql,CSVParser,sanitizeString,Magic Number,The method contains a magic number: 0x10,127
tarql_tarql,org.deri.tarql,CSVParser,sanitizeString,Magic Number,The method contains a magic number: 0xFFFD,127
tarql_tarql,org.deri.tarql,CSVParser,init,Complex Conditional,The conditional expression var == null || vars.contains(var) || var.equals(TarqlQuery.ROWNUM) is complex.,196
tarql_tarql,org.deri.tarql,CSVParser,init,Complex Method,Cyclomatic complexity of the method is 8,196
tarql_tarql,org.deri.tarql,CSVParser,init,Long Statement,The length of the statement "csv=new CSVReaderBuilder(reader).withCSVParser(new CSVParserBuilder().withSeparator(delimiter).withQuoteChar(quote).withEscapeChar(escape).build()).build();" is 156.,196
tarql_tarql,org.deri.tarql,TarqlQuery,makeTest,Magic Number,The method contains a magic number: 5,66
tarql_tarql,org.deri.tarql,TarqlQueryExecution,modifyQuery,Complex Conditional,The conditional expression query.isSelectType() && query.isQueryResultStar() && var.equals(TarqlQuery.ROWNUM) is complex.,61
